PoArea,PdArea,OrdLdMi,All-In
p_oarea_OR-POR,p_darea_AZ-PHX,1273,1800
p_oarea_OR-POR,p_darea_AZ-PHX,1273,1800
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2686.69
p_oarea_OR-POR,p_darea_AZ-PHX,1256,2828.44
p_oarea_OR-POR,p_darea_AZ-PHX,1256,2828.44
p_oarea_OR-POR,p_darea_AZ-PHX,1271,2605.79
p_oarea_OR-POR,p_darea_AZ-PHX,1271,2604.95
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2701.39
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2701.39
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2714.75
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2709.48
p_oarea_OR-POR,p_darea_AZ-PHX,1228,2867.18
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2714.75
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2728.11
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2728.11
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2736.28
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2728.11
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2754.83
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2754.83
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2796.24
p_oarea_OR-POR,p_darea_AZ-PHX,1228,2880.47
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2804.62
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2859.56
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2859.56
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2854.02
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2851.02
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2859.56
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2872.96
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2822.96
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2864.38
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2864.38
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2864.38
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2872.96
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2864.38
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2872.96
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2872.96
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2872.96
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2886.36
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2991.36
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2859.46
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2859.46
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2857.95
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2859.46
p_oarea_OR-POR,p_darea_AZ-PHX,1314,1903.04
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2886.18
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2886.18
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2913.16
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2899.54
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2913.16
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2886.18
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2889.25
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2904.46
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2899.54
p_oarea_TX-DAL,p_darea_AZ-PHX,1027,1803.02
p_oarea_UT-SLC,p_darea_AZ-PHX,682,1104.91
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1074.56
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1085.6
p_oarea_UT-SLC,p_darea_AZ-PHX,740,1196.54
p_oarea_UT-SLC,p_darea_AZ-PHX,676,1299.89
p_oarea_UT-SLC,p_darea_AZ-PHX,676,1298.76
p_oarea_UT-SLC,p_darea_AZ-PHX,682,1120.96
p_oarea_UT-SLC,p_darea_AZ-PHX,682,1120.96
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1088.67
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1088.47
p_oarea_UT-SLC,p_darea_AZ-PHX,682,1120.03
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1089.47
p_oarea_UT-SLC,p_darea_AZ-PHX,697,1134.77
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1089.47
p_oarea_UT-SLC,p_darea_AZ-PHX,660,1076.13
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1091.99
p_oarea_UT-SLC,p_darea_AZ-PHX,660,1057.15
p_oarea_UT-SLC,p_darea_AZ-PHX,697,1129.95
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1083.63
p_oarea_UT-SLC,p_darea_AZ-PHX,669,1073.25
p_oarea_UT-SLC,p_darea_AZ-PHX,660,1060.73
p_oarea_UT-SLC,p_darea_AZ-PHX,740,1180.82
p_oarea_UT-SLC,p_darea_AZ-PHX,740,1194.75
p_oarea_UT-SLC,p_darea_AZ-PHX,740,1193.86
